"p1","eff"
"http://dbpedia.org/ontology/notableStudent",2
"http://dbpedia.org/property/othername",2
"http://dbpedia.org/property/thesis1Title",2
"http://dbpedia.org/ontology/doctoralStudent",2
"http://dbpedia.org/ontology/philosophicalSchool",2
"http://dbpedia.org/property/sign",2
"http://dbpedia.org/property/border",2
"http://dbpedia.org/property/laterwork",2
"http://dbpedia.org/property/treasuryDate",1
"http://dbpedia.org/property/certain",1
"http://dbpedia.org/property/mediaType",1
"http://dbpedia.org/property/oclc",1
"http://dbpedia.org/property/series",1
"http://dbpedia.org/property/genres",1
"http://dbpedia.org/ontology/region",1
"http://dbpedia.org/property/rows",1
"http://dbpedia.org/property/5pp",1
"http://dbpedia.org/property/alongside",1
"http://dbpedia.org/property/stateStart",1
"http://dbpedia.org/property/birthname",1
"http://dbpedia.org/property/releaseNumber",1
"http://dbpedia.org/ontology/era",1
"http://dbpedia.org/property/altname",1
"http://dbpedia.org/property/imageCaption",1
"http://dbpedia.org/ontology/allegiance",1
"http://dbpedia.org/property/links",1
"http://dbpedia.org/property/dateformat",1
"http://dbpedia.org/property/navyEnd",1
"http://dbpedia.org/property/presidentStart",1
"http://dbpedia.org/ontology/language",1
"http://dbpedia.org/ontology/successor",1
"http://dbpedia.org/property/creation",1
"http://dbpedia.org/property/jr/sr",1
"http://dbpedia.org/property/lcheading",1
"http://dbpedia.org/property/isbn",1
"http://dbpedia.org/property/italicTitle",1
"http://dbpedia.org/property/presidentEnd",1
"http://dbpedia.org/ontology/pseudonym",1
"http://www.w3.org/2003/01/geo/wgs84_pos#geometry",1
"http://xmlns.com/foaf/0.1/nick",1
"http://dbpedia.org/property/list",1
"http://dbpedia.org/property/reason",1
"http://dbpedia.org/property/onlinebooksby",1
"http://dbpedia.org/ontology/country",1
"http://dbpedia.org/property/signatureAlt",1
"http://dbpedia.org/property/thesis2Title",1
"http://dbpedia.org/property/treasuryEnd",1
"http://dbpedia.org/property/warStart",1
"http://dbpedia.org/property/footnotes",1
"http://dbpedia.org/property/origLangCode",1
"http://dbpedia.org/property/religion",1
"http://dbpedia.org/property/titleOrig",1
"http://dbpedia.org/property/appointer",1
"http://dbpedia.org/property/authorAbbrevBot",1
"http://dbpedia.org/property/navyDate",1
"http://dbpedia.org/property/pseudonym",1
"http://dbpedia.org/property/governor",1
"http://dbpedia.org/property/perrow",1
"http://dbpedia.org/property/artikel",1
"http://dbpedia.org/property/lieutenant",1
"http://dbpedia.org/ontology/militaryUnit",1
"http://dbpedia.org/property/direction",1
"http://dbpedia.org/property/float",1
"http://dbpedia.org/property/term",1
"http://dbpedia.org/ontology/father",1
"http://dbpedia.org/ontology/mother",1
"http://dbpedia.org/property/fontsize",1
"http://dbpedia.org/property/thesis2Year",1
"http://dbpedia.org/property/country",1
"http://dbpedia.org/property/small",1
"http://www.georss.org/georss/point",1
"http://dbpedia.org/property/navyStart",1
"http://dbpedia.org/property/preNominals",1
"http://dbpedia.org/ontology/movement",1
"http://dbpedia.org/property/spalten",1
"http://dbpedia.org/property/bgcolor",1
"http://dbpedia.org/property/imageName",1
"http://dbpedia.org/property/j",1
"http://dbpedia.org/property/totalWidth",1
"http://dbpedia.org/property/authorLink",1
"http://www.w3.org/2003/01/geo/wgs84_pos#long",1
"http://dbpedia.org/property/stateEnd",1
"http://dbpedia.org/property/thesis1Url",1
"http://dbpedia.org/property/englishPubDate",1
"http://dbpedia.org/property/isbnNote",1
"http://dbpedia.org/property/size",1
"http://dbpedia.org/property/year",1
"http://dbpedia.org/property/training",1
"http://dbpedia.org/property/treasuryStart",1
"http://dbpedia.org/property/warEnd",1
"http://dbpedia.org/property/works",1
"http://dbpedia.org/property/family",1
"http://dbpedia.org/property/precededBy",1
"http://dbpedia.org/property/television",1
"http://dbpedia.org/property/notablework",1
"http://dbpedia.org/property/sure",1
"http://dbpedia.org/property/autor",1
"http://dbpedia.org/property/shortlink",1
"http://dbpedia.org/property/war",1
"http://dbpedia.org/property/monarch",1
"http://dbpedia.org/property/translator",1
"http://dbpedia.org/property/movement",1
"http://dbpedia.org/ontology/signature",1
"http://dbpedia.org/property/nickname",1
"http://dbpedia.org/property/otherName",1
"http://dbpedia.org/property/nomen",1
"http://www.w3.org/2003/01/geo/wgs84_pos#lat",1
"http://dbpedia.org/property/followedBy",1
"http://dbpedia.org/property/mw",1
"http://dbpedia.org/property/pubDate",1
"http://dbpedia.org/property/display",1
"http://dbpedia.org/property/yearsactive",1
"http://dbpedia.org/property/band",1
