"subject_uri","subjectBirthDate","r_property","target"
"http://dbpedia.org/resource/Ma_Chengyuan",1927-11-03,"almaMater","http://dbpedia.org/resource/Daxia_University"
"http://dbpedia.org/resource/John_Wymer",1928-03-05,"institution","http://dbpedia.org/resource/University_of_East_Anglia"
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21,"almaMater","http://dbpedia.org/resource/University_of_Tehran"
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21,"institution","http://dbpedia.org/resource/University_of_Tehran"
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21,"institution","http://dbpedia.org/resource/Khorasan_Province"
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21,"institution","http://dbpedia.org/resource/National_Museum_of_Iran"
"http://dbpedia.org/resource/Brian_Dobson_(archaeologist)",1931-09-13,"almaMater","http://dbpedia.org/resource/Hatfield_College"
"http://dbpedia.org/resource/Brian_Dobson_(archaeologist)",1931-09-13,"almaMater","http://dbpedia.org/resource/University_of_Durham"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"almaMater","http://dbpedia.org/resource/University_of_Michigan"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"almaMater","http://dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"almaMater","http://dbpedia.org/resource/Virginia_Tech"
"http://dbpedia.org/resource/Larissa_Bonfante",1931-03-27,"almaMater","http://dbpedia.org/resource/Barnard_College"
"http://dbpedia.org/resource/Larissa_Bonfante",1931-03-27,"almaMater","http://dbpedia.org/resource/University_of_Cincinnati"
"http://dbpedia.org/resource/Larissa_Bonfante",1931-03-27,"almaMater","http://dbpedia.org/resource/Columbia_University"
"http://dbpedia.org/resource/Brian_Dobson_(archaeologist)",1931-09-13,"institution","http://dbpedia.org/resource/University_of_Durham"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"institution","http://dbpedia.org/resource/University_of_Chicago"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"institution","http://dbpedia.org/resource/University_of_New_Mexico"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"institution","http://dbpedia.org/resource/Southern_Methodist_University"
"http://dbpedia.org/resource/George_Bass_(archaeologist)",1932-12-09,"almaMater","http://dbpedia.org/resource/University_of_Pennsylvania"
"http://dbpedia.org/resource/George_Bass_(archaeologist)",1932-12-09,"almaMater","http://dbpedia.org/resource/The_Johns_Hopkins_University"
"http://dbpedia.org/resource/George_Bass_(archaeologist)",1932-12-09,"institution","http://dbpedia.org/resource/Texas_A&M_University"
"http://dbpedia.org/resource/Li_Xueqin",1933-03-28,"almaMater","http://dbpedia.org/resource/Tsinghua_University"
