"subject_uri","target","field","birthYear"
"http://dbpedia.org/resource/Eugene_Stockton","http://dbpedia.org/resource/Community_development","Community development",1934
"http://dbpedia.org/resource/Eugene_Stockton","http://dbpedia.org/resource/Priest","Priest",1934
"http://dbpedia.org/resource/Tong_Enzheng","http://dbpedia.org/resource/Archaeologist","Archaeologist",1935
"http://dbpedia.org/resource/James_B._Stoltman","http://dbpedia.org/resource/University_of_Wisconsin-Madison","University of Wisconsin-Madison",1935
"http://dbpedia.org/resource/Cynthia_Irwin-Williams","http://dbpedia.org/resource/Anthropology","Anthropology",1936
"http://dbpedia.org/resource/Josephine_Flood","http://dbpedia.org/resource/Archaeology","Archaeology",1936
"http://dbpedia.org/resource/Cynthia_Irwin-Williams","http://dbpedia.org/resource/Archaeology","Archaeology",1936
"http://dbpedia.org/resource/Hilary_Deacon","http://dbpedia.org/resource/Archaeology","Archaeology",1936
"http://dbpedia.org/resource/Bryant_G._Wood","http://dbpedia.org/resource/Archaeology","Archaeology",1936
"http://dbpedia.org/resource/Glynn_Isaac","http://dbpedia.org/resource/Archaeologist","Archaeologist",1937
"http://dbpedia.org/resource/Gheorghe_I._Cantacuzino","http://dbpedia.org/resource/Historian","Historian",1937
"http://dbpedia.org/resource/Gheorghe_I._Cantacuzino","http://dbpedia.org/resource/Archeologist","Archeologist",1937
"http://dbpedia.org/resource/Gheorghe_I._Cantacuzino","http://dbpedia.org/resource/Museologist","Museologist",1937
"http://dbpedia.org/resource/Peter_Ucko","http://dbpedia.org/resource/Archaeologist","Archaeologist",1938
"http://dbpedia.org/resource/Ron_Vanderwal","http://dbpedia.org/resource/Archaeology","Archaeology",1938
"http://dbpedia.org/resource/Sadegh_Malek_Shahmirzadi","http://dbpedia.org/resource/Anthropology","Anthropology",1940
"http://dbpedia.org/resource/Manfred_Bietak","http://dbpedia.org/resource/Archaeologist","Archaeologist",1940
"http://dbpedia.org/resource/Sadegh_Malek_Shahmirzadi","http://dbpedia.org/resource/Archaeology","Archaeology",1940
"http://dbpedia.org/resource/Cajsa_S._Lund","http://dbpedia.org/resource/Music_archaeology","Music archaeology",1940
"http://dbpedia.org/resource/Carmel_Schrire","http://dbpedia.org/resource/Anthropology","Anthropology",1941
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)","http://dbpedia.org/resource/Paleoanthropology","Paleoanthropology",1941
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi","http://dbpedia.org/resource/School_of_Oriental_and_African_Studies","School of Oriental and African Studies",1942
"http://dbpedia.org/resource/Peter_Woodman","http://dbpedia.org/resource/Prehistoric_archaeology","Prehistoric archaeology",1943
"http://dbpedia.org/resource/William_W._Fitzhugh","http://dbpedia.org/resource/Anthropology","Anthropology",1943
"http://dbpedia.org/resource/Victor_Spinei","http://dbpedia.org/resource/Archaeology","Archaeology",1943
"http://dbpedia.org/resource/William_W._Fitzhugh","http://dbpedia.org/resource/Archaeology","Archaeology",1943
"http://dbpedia.org/resource/Peter_Woodman","http://dbpedia.org/resource/Archaeology_of_Ireland","Archaeology of Ireland",1943
"http://dbpedia.org/resource/Victor_Spinei","http://dbpedia.org/resource/History","History",1943
"http://dbpedia.org/resource/Gordon_Hillman","http://dbpedia.org/resource/Archaeobotany","Archaeobotany",1943
"http://dbpedia.org/resource/Donald_Johanson","http://dbpedia.org/resource/Paleoanthropology","Paleoanthropology",1943
"http://dbpedia.org/resource/Timothy_W._Potter","http://dbpedia.org/resource/Archaeologist","Archaeologist",1944
"http://dbpedia.org/resource/James_M._Adovasio","http://dbpedia.org/resource/Archaeology","Archaeology",1944
"http://dbpedia.org/resource/Francis_Pryor","http://dbpedia.org/resource/Archaeologist","Archaeologist",1945
"http://dbpedia.org/resource/Elizabeth_Brumfiel","http://dbpedia.org/resource/Archaeology","Archaeology",1945
"http://dbpedia.org/resource/Francis_Pryor","http://dbpedia.org/resource/Prehistorian","Prehistorian",1945
"http://dbpedia.org/resource/Andrew_Sherratt","http://dbpedia.org/resource/Archaeology","Archaeology",1946
"http://dbpedia.org/resource/Mick_Aston","http://dbpedia.org/resource/Archaeologist","Archaeologist",1946
"http://dbpedia.org/resource/Ronny_Reich","http://dbpedia.org/resource/Archaeology","Archaeology",1947
"http://dbpedia.org/resource/Ian_Hodder","http://dbpedia.org/resource/Anthropology","Anthropology",1948
"http://dbpedia.org/resource/David_L._Kennedy","http://dbpedia.org/resource/Archaeology","Archaeology",1948
"http://dbpedia.org/resource/Ian_Hodder","http://dbpedia.org/resource/Archaeology","Archaeology",1948
"http://dbpedia.org/resource/David_L._Kennedy","http://dbpedia.org/resource/History","History",1948
"http://dbpedia.org/resource/Israel_Finkelstein","http://dbpedia.org/resource/Archaeology","Archaeology",1949
"http://dbpedia.org/resource/Dolores_Piperno","http://dbpedia.org/resource/Archaeobotany","Archaeobotany",1949
"http://dbpedia.org/resource/Mary_Beaudry","http://dbpedia.org/resource/Material_culture","Material culture",1950
"http://dbpedia.org/resource/Mary_Beaudry","http://dbpedia.org/resource/Historical_archaeology","Historical archaeology",1950
"http://dbpedia.org/resource/Phil_Harding_(archaeologist)","http://dbpedia.org/resource/Archaeologist","Archaeologist",1950
"http://dbpedia.org/resource/Gary_M._Feinman","http://dbpedia.org/resource/Archaeology","Archaeology",1951
"http://dbpedia.org/resource/Klaus_Schmidt_(archaeologist)","http://dbpedia.org/resource/Archaeologist","Archaeologist",1953
"http://dbpedia.org/resource/Wil_Roebroeks","http://dbpedia.org/resource/Human_evolution","Human evolution",1955
"http://dbpedia.org/resource/Wil_Roebroeks","http://dbpedia.org/resource/Archaeology","Archaeology",1955
"http://dbpedia.org/resource/Eilat_Mazar","http://dbpedia.org/resource/Archaeology","Archaeology",1956
"http://dbpedia.org/resource/Valentine_Roux","http://dbpedia.org/resource/Archaeologist","Archaeologist",1956
"http://dbpedia.org/resource/Jacques_Breuer","http://dbpedia.org/resource/Actor","Actor",1956
"http://dbpedia.org/resource/Jacques_Breuer","http://dbpedia.org/resource/Film_director","Film director",1956
"http://dbpedia.org/resource/Fred_Vargas","http://dbpedia.org/resource/Archaeologist","Archaeologist",1957
"http://dbpedia.org/resource/Claire_Smith_(archaeologist)","http://dbpedia.org/resource/Archaeology","Archaeology",1957
"http://dbpedia.org/resource/Louise_Zarmati","http://dbpedia.org/resource/Archaeology","Archaeology",1958
"http://dbpedia.org/resource/Nikolai_Grube","http://dbpedia.org/resource/Epigraphy","Epigraphy",1962
"http://dbpedia.org/resource/Peter_N._Peregrine","http://dbpedia.org/resource/Anthropology","Anthropology",1963
"http://dbpedia.org/resource/Carl_L._Thunberg","http://dbpedia.org/resource/Archaeologist","Archaeologist",1963
"http://dbpedia.org/resource/Peter_N._Peregrine","http://dbpedia.org/resource/Archaeology","Archaeology",1963
"http://dbpedia.org/resource/Carl_L._Thunberg","http://dbpedia.org/resource/Historian","Historian",1963
"http://dbpedia.org/resource/Sharada_Srinivasan","http://dbpedia.org/resource/Bangalore","Bangalore",1966
"http://dbpedia.org/resource/Sharada_Srinivasan","http://dbpedia.org/resource/National_Institute_of_Advanced_Studies","National Institute of Advanced Studies",1966
"http://dbpedia.org/resource/Neil_Oliver","http://dbpedia.org/resource/Television_presenter","Television presenter",1967
"http://dbpedia.org/resource/Birgitta_Hoffmann","http://dbpedia.org/resource/Archaeology","Archaeology",1969
"http://dbpedia.org/resource/Birgitta_Hoffmann","http://dbpedia.org/resource/History","History",1969
"http://dbpedia.org/resource/Martin_Rundkvist","http://dbpedia.org/resource/Archaeologist","Archaeologist",1972
