"subject_uri","subjectBirthDate","birthPlace","birthPoint","r_property","organisation","orgPoint"
"http://dbpedia.org/resource/James_Bennett_Griffin",1905-01-12,"http://dbpedia.org/resource/Atchison,_Kansas","39.5625 -95.12833333333333","almaMater","http://dbpedia.org/resource/University_of_Chicago","41.789722222222224 -87.59972222222223"
"http://dbpedia.org/resource/James_Bennett_Griffin",1905-01-12,"http://dbpedia.org/resource/Atchison,_Kansas","39.5625 -95.12833333333333","almaMater","http://dbpedia.org/resource/University_of_Michigan","42.276944444444446 -83.73805555555556"
"http://dbpedia.org/resource/James_Bennett_Griffin",1905-01-12,"http://dbpedia.org/resource/Atchison,_Kansas","39.5625 -95.12833333333333","institution","http://dbpedia.org/resource/University_of_Michigan","42.276944444444446 -83.73805555555556"
"http://dbpedia.org/resource/Alice_Kober",1906-12-23,"http://dbpedia.org/resource/New_York_City","40.71277777777778 -74.00611111111111","almaMater","http://dbpedia.org/resource/Hunter_College","40.768538 -73.964741"
"http://dbpedia.org/resource/Alice_Kober",1906-12-23,"http://dbpedia.org/resource/New_York_City","40.71277777777778 -74.00611111111111","almaMater","http://dbpedia.org/resource/Columbia_University","40.8075 -73.96194444444444"
"http://dbpedia.org/resource/Charles_Godakumbura",1907-12-05,"http://dbpedia.org/resource/Chilaw","7.583333333333333 79.8","almaMater","http://dbpedia.org/resource/Kingswood_College,_Kandy","7.277083333333334 80.61486111111111"
"http://dbpedia.org/resource/Avraham_Biran",1909-10-23,"http://dbpedia.org/resource/Petah_Tikva","32.08888888888889 34.88638888888889","almaMater","http://dbpedia.org/resource/Johns_Hopkins_University","39.32888888888889 -76.62027777777777"
"http://dbpedia.org/resource/Su_Bingqi",1909,"http://dbpedia.org/resource/Gaoyang_County","38.7 115.779","almaMater","http://dbpedia.org/resource/Beijing_Normal_University","39.95722222222222 116.3625"
"http://dbpedia.org/resource/Jacquetta_Hawkes",1910-08-05,"http://dbpedia.org/resource/Cambridge","52.20527777777778 0.11916666666666667","almaMater","http://dbpedia.org/resource/University_of_Cambridge","52.20527777777778 0.11722222222222221"
"http://dbpedia.org/resource/Anne_Strachan_Robertson",1910-05-03,"http://dbpedia.org/resource/Glasgow","55.861111111111114 -4.25","almaMater","http://dbpedia.org/resource/University_of_Glasgow","55.871944444444445 -4.2875"
